ZTSJ6537120: 48.682.994/3446-75<->74.191.138/6225-74
IFZJ1490391: 01.404.217/6498-95<->03.537.547/0783-83
LHGU2314309: 12.013.805/5314-38<->50.080.645/9139-23
NKRZ8803457: 58.700.911/3351-09<->57.034.828/8778-99
DVKZ4252046: 06.743.535/2575-07<->06.741.024/8140-52
NIGJ2019114: 08.928.237/9929-47<->98.960.719/1938-57
HASZ9868114: 06.837.444/3912-73<->94.015.457/1490-59
WHZZ4658218: 01.794.361/9284-93<->10.247.982/5559-83
DHIJ8810801: 43.710.653/2960-12<->37.438.954/8479-64
XDRU3729442: 23.834.950/5307-93<->93.576.578/3400-65
HXBU3804818: 33.308.694/8449-44<->28.431.157/9483-19
XCUU5065802: 92.366.796/8618-33<->63.426.282/9115-67
GCZJ2004682: 98.034.565/3326-19<->56.976.050/3187-44
YOXJ9926833: 84.216.699/5194-28<->22.244.473/7294-66
NTIJ1983571: 06.745.277/3147-66<->74.380.069/3813-53
JFYJ2982450: 66.553.277/6132-98<->60.257.201/5033-01
WDTU8962747: 16.871.467/1886-41<->94.583.403/3347-40
PFTJ4210112: 25.365.466/3964-04<->94.853.005/8146-38
JKDZ5810013: 25.086.263/1576-36<->01.557.914/4111-19
BGHZ2229114: 99.759.700/2163-50<->83.138.852/9275-34
PLZJ2535177: 77.891.532/2312-71<->05.039.009/0998-19
ZDQU5686068: 14.060.824/8974-11<->85.035.350/4237-07
MOBJ5920357: 79.223.048/4849-85<->68.774.258/0258-54
XSYU4975491: 27.661.935/9752-94<->97.438.151/5916-01
WDTJ5159907: 97.536.757/1858-82<->16.085.003/2519-79
HXIJ1978703: 16.127.617/7930-83<->34.263.919/8212-73
NQTU1857072: 13.083.139/9763-55<->04.657.872/4662-80
HJJZ3053981: 13.919.009/7659-68<->00.081.372/3149-31
ZTLU1634250: 28.139.664/8032-64<->55.214.302/5686-98
JNRZ4307616: 80.397.725/8448-27<->01.648.920/8580-88
IYKZ2652728: 94.587.751/1619-70<->45.488.666/0299-21
YKGU8790414: 88.387.549/0660-16<->71.088.723/3094-19
XTAZ9179045: 67.670.236/0406-40<->15.390.002/2427-19
PRNU7768448: 66.400.483/9115-21<->29.211.068/2083-23
EAAZ6181960: 25.692.721/8687-71<->54.998.029/4305-53
SBWU7163693: 53.598.276/1483-14<->39.423.273/7550-71
LBHU2102612: 65.683.584/8069-19<->91.775.009/8022-32
VGRZ0433034: 78.832.874/1334-32<->08.622.302/3757-76
UQBU9351838: 67.552.122/1885-02<->19.700.636/2050-38
BJQU2826789: 30.337.105/8457-56<->96.059.417/4334-07
HMHU7045065: 09.791.736/5402-51<->31.770.466/2749-94
PPOJ5951898: 98.345.048/7876-27<->65.526.443/9967-40
PFDJ6544153: 53.482.767/7471-05<->68.834.161/8154-73
NXTU8220966: 41.054.739/7569-25<->90.777.406/3500-90
IODJ1058225: 38.349.478/1359-81<->47.092.693/7831-92
IBYZ3241345: 98.335.854/3077-37<->71.829.620/4192-32
SUCJ5796901: 80.796.674/5317-30<->68.102.430/2359-14
CLAU0208370: 17.426.210/4423-11<->63.787.814/6904-27
FFSZ2432399: 33.705.663/5960-53<->62.082.984/8265-53
IOIZ3116376: 71.187.257/3578-06<->97.382.379/1551-00
GQYZ5696562: 79.978.944/5487-06<->17.016.637/1964-97
TYKZ2211307: 50.030.428/6615-65<->15.376.267/7981-12
ODVU8923717: 40.216.962/9150-58<->57.747.629/2909-58
FSJU6748418: 47.640.579/4749-64<->14.068.415/1702-58
OBJJ3168968: 46.627.138/0261-41<->06.072.686/2136-18
SCDZ9212628: 51.867.661/6780-59<->29.893.914/7888-01
HTBZ2172290: 67.002.024/6366-66<->37.297.957/1589-06
YOFZ2886810: 47.039.496/3396-33<->10.858.064/6642-11
KCGU5082069: 00.456.611/9548-76<->82.105.576/9506-14
ONAJ1796498: 40.305.932/4040-76<->94.391.139/4369-27
WUHU8393156: 65.306.392/1121-61<->03.227.070/3675-71
OTUJ1635920: 21.554.359/3207-98<->44.129.603/9033-76
BBAU4124623: 52.645.247/4376-37<->30.349.682/3989-79
QYMU9693209: 55.842.317/8927-70<->91.700.709/1091-37
IFJJ0050583: 14.510.602/8299-47<->98.984.135/3122-60
DOAJ3613401: 77.612.185/2112-86<->93.803.001/1970-56
ANAZ3823501: 44.141.365/2894-99<->73.330.092/3311-77
QATZ7420986: 24.972.095/1505-48<->55.755.743/8802-27
EEWZ8617973: 49.249.556/0700-66<->12.831.648/6785-31
OOLZ6853923: 56.820.748/3277-20<->52.825.952/6533-36
CWHZ7835733: 45.645.185/7314-45<->05.628.854/7156-43
LJNJ8271765: 22.509.000/1732-27<->40.207.284/7002-75
BMCJ1171796: 13.236.669/1184-53<->16.614.511/8147-97
QDBZ2151732: 81.153.094/8372-45<->08.649.659/5222-90
YYTJ8301291: 60.607.438/3449-96<->97.363.061/6374-94
HIRZ6018208: 74.569.265/5181-23<->20.431.072/3586-42
PSEJ7597842: 01.332.567/5901-73<->19.744.308/2792-87
GSHZ5747262: 79.039.156/9070-68<->13.534.549/9118-99
NEPU4758713: 47.077.172/7339-37<->37.457.422/5348-54
YYNU1827227: 45.637.600/6536-10<->81.211.438/1715-96
OYGU9024823: 88.583.409/7515-84<->43.451.625/9252-75
HBRZ9121015: 12.472.011/5767-20<->27.685.259/1395-84
ELCZ3555975: 24.888.382/5153-91<->98.528.952/8802-92
APCJ8884896: 26.398.093/5980-24<->00.968.064/2439-72
FXAU6774052: 79.382.684/6520-07<->74.648.405/8224-14
SZYJ0955381: 81.347.035/4257-54<->91.824.551/3098-64
POPZ6023698: 68.750.049/3373-78<->97.224.477/0405-32
BVIZ2212459: 09.685.858/0956-74<->79.172.892/7466-56
BQUJ7116206: 01.772.409/9594-57<->94.508.144/4258-61
GIQJ1159162: 81.300.029/3467-05<->77.674.564/2357-96
AUVJ2826876: 74.765.926/8713-19<->43.958.386/1102-64
PSUU2887155: 60.870.148/5327-24<->68.922.416/3513-50
UVJZ4057719: 32.280.132/3251-72<->36.691.873/7609-58
QJKJ4811243: 70.063.545/3341-36<->37.989.490/3517-57
QRGZ7960081: 65.977.044/2550-89<->37.797.666/4722-48
SKXJ4801158: 86.771.200/1594-11<->13.923.462/1000-70
ZLAZ5997061: 40.954.466/9057-29<->82.783.705/1072-25
IFDU2723995: 29.348.034/5965-92<->56.015.170/5228-72
WZWU4679374: 65.713.481/5589-69<->84.884.371/1693-15
CSIJ8109228: 19.552.368/0984-13<->28.055.369/7963-71
WXWU7338782: 68.624.164/6025-15<->19.418.804/5999-92
MNUJ3990997: 47.435.281/2549-96<->95.073.893/1675-42
NLNJ2789047: 76.010.121/5156-88<->73.084.430/0382-01
CFKJ0773667: 14.668.598/1687-18<->22.262.016/6088-80
ABWZ3080473: 31.985.185/9600-80<->27.131.370/7051-39
XVNU0141096: 92.266.879/8826-64<->77.597.632/1514-35
LVYZ7546813: 26.288.795/7658-16<->81.675.082/3737-34
ORYU6744639: 53.205.873/7783-61<->14.140.174/2430-31
FDLU7314885: 73.928.971/2437-37<->87.657.825/6305-18
NBLU9976886: 34.595.393/8765-85<->71.731.439/0408-45
CWHU1278872: 33.736.829/3294-26<->52.533.812/7033-32
MBAJ3620592: 38.183.197/5143-36<->24.822.091/9764-56
EDGU9683402: 34.979.234/8439-76<->59.421.097/5267-36
HLDU3813816: 93.084.580/4388-00<->81.326.113/7531-70
UJSZ1875523: 43.394.425/9220-82<->27.637.078/1811-00
HGKU7395730: 09.730.360/5897-30<->07.029.666/0821-93
ZAFU2667672: 91.664.348/7972-17<->98.233.828/7912-62
ETMU7232775: 46.197.878/5247-11<->90.840.207/5211-45
FYHJ7949647: 63.155.481/2880-00<->48.839.114/1455-61
QEGZ1359680: 17.471.160/7071-74<->41.563.085/3512-56
FITJ5196784: 82.890.292/2201-65<->49.055.314/2122-78
BGIJ5463621: 58.776.677/7491-63<->62.294.532/3690-23
HNUU5840766: 29.453.492/7021-14<->97.760.130/7429-83
ECAJ4866943: 10.237.898/5231-95<->47.151.514/6829-71
LEYU2231095: 65.728.083/2342-09<->28.812.201/6100-97
KDLJ5894169: 84.882.148/0068-22<->09.764.327/9288-96
VHQJ6826087: 67.748.027/9865-05<->02.558.761/5152-23
SPKU4073939: 38.670.831/3666-04<->01.190.381/0747-09
RAAU6783949: 64.148.784/0429-04<->02.224.300/1050-61
WEOU0321719: 46.606.127/4308-67<->95.074.545/6221-36
UDRJ1915549: 62.454.390/9826-07<->87.023.861/9023-98
PWHZ6571299: 82.236.298/6695-81<->52.589.269/4146-64
SXHZ5153413: 62.096.295/6216-17<->80.574.004/3664-56
NTQZ5106475: 35.522.358/4671-31<->16.369.942/2291-55
KFSU4473993: 64.824.459/5396-74<->82.803.051/1934-67
FRNJ9969168: 22.724.392/5726-17<->65.700.690/1832-50
KLHU3538090: 32.970.479/8236-55<->75.776.757/0761-82
WNSJ9954563: 23.959.440/9040-99<->66.585.810/4333-40
GHZJ5838682: 36.265.591/3453-00<->71.704.044/7997-55
LJVU4088111: 21.166.713/8630-13<->00.360.956/5631-85
OENJ8125318: 39.664.526/8116-08<->47.970.570/5297-60
FNKJ0718924: 66.764.221/2606-55<->55.702.215/8309-95
YXRU2356605: 88.321.524/8394-91<->30.033.765/4219-68
RMMZ6389367: 30.184.098/9406-69<->85.647.281/8672-55
KYBJ9058791: 66.502.787/8511-35<->01.718.723/5468-45
TGXU9684671: 63.113.358/9414-67<->67.731.094/5790-45
MHCZ9741854: 06.244.625/3397-73<->24.247.399/9577-97
MTKZ6916120: 39.971.570/5668-06<->67.644.565/3277-82
IYZZ2822698: 76.554.579/5799-48<->35.407.747/8005-75
KCOU5938946: 10.921.873/0543-25<->12.176.168/6442-58
HVTU4146913: 32.863.954/3237-57<->79.289.602/8140-73
IMAU4450219: 25.051.907/2704-73<->19.064.174/6448-07
RTEJ9384559: 88.593.054/1772-90<->52.778.008/4601-43
JVBZ5838413: 73.223.214/0685-12<->16.196.721/2061-86
XZWZ6299704: 97.795.039/3108-43<->54.538.928/2153-91
RUZZ8589635: 41.939.140/9821-03<->36.828.231/7769-20
LIBZ0335075: 10.441.846/7328-87<->61.031.904/0814-20
GFIZ0253856: 23.067.305/2986-32<->12.595.696/1972-69
OULZ3932488: 89.873.137/8774-37<->95.991.417/3903-15
OZWU6429423: 06.000.783/3232-30<->50.674.621/4639-70
AREJ7942784: 69.811.890/2945-07<->38.211.098/9069-77
OBTJ7603871: 25.133.424/5642-22<->50.538.133/8548-51
RZGJ9414629: 61.590.335/0775-22<->48.143.956/4875-54
LOTU4416312: 33.196.259/6229-97<->41.910.924/4745-99
YJMU0027189: 54.687.825/8903-37<->30.706.264/5548-32
CCXZ4351802: 29.189.081/9856-28<->26.282.831/1110-49
WNDJ8336435: 69.381.200/2359-91<->93.608.340/7867-30
BAWU7279281: 52.784.665/6175-41<->32.809.782/5541-89
PKIU2726813: 09.455.505/5058-79<->92.184.212/8172-12
FAIU6438331: 65.406.513/7112-49<->46.955.799/0870-90
LIPZ1077913: 32.265.091/1480-92<->95.741.319/8555-98
WDEU2412293: 91.251.739/4213-57<->75.724.001/6847-96
VXLU5784741: 55.842.955/5072-76<->63.234.218/9779-21
ACGZ7127496: 18.378.082/6565-47<->78.542.212/2533-06
FPPZ1204013: 21.964.754/7390-14<->79.128.621/8359-72
RDWU4693004: 31.130.469/4230-77<->14.097.336/4570-95
YFCZ2546545: 30.936.574/6820-69<->67.922.927/7271-39
MALU8079872: 27.906.834/8966-73<->92.182.977/2679-75
WCMZ4909333: 68.054.043/9863-17<->12.012.456/0218-04
TGBU1372769: 54.187.644/7659-46<->62.017.032/1703-79
FLVJ5543945: 61.354.815/8159-48<->81.465.452/8169-61
FUQJ6362192: 45.437.852/1079-67<->49.187.128/5091-84
AGJZ1026981: 38.863.608/5762-58<->02.714.435/3400-71
LFUZ1787207: 22.707.323/9039-52<->20.621.090/2478-38
GKAU0239243: 67.638.586/5092-09<->88.604.568/2054-23
GIAU5234414: 27.157.566/7191-71<->34.768.422/3989-74
JRBU9954691: 33.570.976/6651-32<->35.387.604/9123-20
XXIZ2260446: 90.858.384/6304-75<->16.031.796/5791-71
LXTU1111321: 06.091.357/8341-69<->95.829.164/1726-39
AGWJ0820852: 27.604.930/0668-08<->91.773.941/9993-16
VFHJ0445255: 51.399.308/9974-30<->96.822.329/8653-42
ZDFJ4257013: 96.547.022/0600-97<->52.682.976/6294-35
CQRZ4530239: 01.027.182/3149-72<->38.741.019/8051-76
NCOU4229016: 00.530.320/5775-98<->85.149.186/4909-16
DIRZ9597586: 06.194.942/7083-45<->28.143.880/2349-14
KUNZ3411142: 67.578.486/0085-57<->43.522.914/2821-47
ZLVJ7061796: 70.808.729/2416-49<->58.932.980/8122-79
EOQZ6574029: 21.244.577/2515-19<->84.542.295/1922-26
QFGJ9666482: 40.815.089/6576-59<->08.959.816/8803-53
SIPJ9176952: 90.193.262/5823-77<->83.065.615/3151-12
PCGZ9064886: 32.053.031/7511-48<->71.089.627/2572-92
RCMJ3904663: 54.605.953/1694-88<->74.952.911/5864-49
DYZU4367413: 60.431.477/1315-20<->39.867.388/6277-06
BLDJ3244315: 96.398.114/1174-44<->18.517.388/7558-11
RXOJ4226946: 37.427.641/4527-19<->15.410.243/1164-31
OVBZ7636231: 47.261.963/8804-57<->55.490.168/6605-88
KBVJ9530513: 66.719.456/8895-61<->04.220.976/7023-17
VLEJ7374269: 07.565.850/1373-89<->37.867.238/4362-32
ESCZ1748708: 54.748.000/3452-85<->38.969.410/6275-53
PTOU0944835: 88.123.937/4530-14<->68.536.141/3750-01
RWCJ1926405: 31.397.120/1342-20<->91.203.848/3563-97
ZLMJ5621318: 77.351.376/1623-12<->08.704.518/8603-94
BMBU3156875: 84.662.415/1419-37<->02.332.370/0684-49
YDWJ3097247: 83.515.508/7711-92<->96.585.629/2022-25
FIWU7499003: 63.330.225/9235-83<->32.877.721/2377-82
MLEZ4929782: 79.059.432/8814-64<->93.913.116/1816-74
TDGZ5715009: 48.143.955/8637-53<->63.300.321/0927-22
FREU6255787: 63.897.495/2243-34<->64.663.174/5641-73
KILJ4631686: 73.192.486/4873-92<->27.852.160/6953-04
UXJJ6439788: 71.445.450/7850-20<->17.937.797/2492-39
POAJ7526863: 76.739.031/9538-27<->20.688.240/2099-93
FXIZ8911147: 95.961.212/2496-30<->76.108.493/3216-07
MFGU2825343: 16.587.117/1403-68<->73.845.433/7967-71
XZKJ6902434: 94.644.132/9187-50<->16.603.620/9890-32
PBNJ9110134: 28.707.596/6021-82<->06.541.820/0999-68
VVIJ6006999: 36.530.496/2896-15<->31.018.824/0783-16
SXLZ8557483: 26.447.703/4275-89<->50.063.088/0655-60
PGTJ7191923: 23.573.040/8188-28<->06.521.433/5541-99
STYU6145011: 32.171.816/7554-17<->85.385.134/1668-91
AZZU8157679: 81.563.879/6655-55<->20.282.243/7628-48
QBBJ6885838: 72.990.352/7164-69<->78.274.449/3546-16
AEOZ9638801: 67.420.299/1271-70<->45.112.745/8171-00
UKBJ2014474: 54.441.958/8533-19<->04.374.737/7228-50
DZGZ9977166: 71.812.750/5138-29<->34.192.514/1318-72
LMFZ4327757: 76.705.299/0698-38<->92.969.705/2111-61
VCGU2192000: 24.085.164/5313-33<->96.289.946/5443-31
NLTJ0915625: 84.344.850/4456-23<->81.944.742/1992-52
ARIZ0222642: 06.452.794/8661-89<->21.570.985/2031-16
TKJJ5725835: 28.989.648/4806-01<->44.571.709/4040-23
GMWU0913635: 99.397.632/2008-29<->05.470.151/8009-66
FDRU0873091: 85.749.484/2011-28<->44.165.632/7397-43
XFNU5245802: 10.923.834/2177-44<->28.265.309/1166-65
YIFU3905961: 32.103.924/6776-36<->95.122.291/0584-17
LPZU7670706: 56.059.398/9721-51<->86.176.146/4380-61
YCNU5054392: 70.864.445/3562-67<->20.501.514/6870-60
ADHJ0603985: 54.746.554/9660-36<->49.082.907/3657-36
AVWU5780846: 04.978.835/5707-61<->80.108.276/6584-89
GCQU7265176: 78.848.358/9562-85<->21.403.702/9564-99
QULZ0514123: 81.951.125/0254-52<->39.915.931/6948-78
LPLJ6825753: 58.961.190/9963-14<->09.641.346/9140-62
KVCJ0866542: 52.713.186/2178-53<->16.175.300/0484-58
EKFZ9997914: 97.940.652/1061-85<->58.289.964/2240-04
XMTJ1922240: 29.645.974/9442-38<->48.580.007/2421-75
IVMJ5202172: 16.288.499/1409-82<->93.550.642/2891-62
VWQZ4326547: 09.984.097/8158-08<->54.601.785/8979-21
GTWZ3692494: 30.054.253/6773-08<->81.719.045/3855-58
ETSZ1465226: 07.264.762/7065-79<->25.651.981/8519-88
TPXZ3439594: 38.042.204/5599-94<->14.234.712/4832-15
AKCJ9072046: 43.685.985/4835-61<->78.621.271/8094-39
VDZU2119286: 28.144.801/1649-03<->54.710.792/5473-39
RDQZ6436971: 64.928.361/8562-46<->98.288.098/9247-55
PDKJ7625011: 97.385.216/4739-11<->79.959.997/9774-55
PINJ3767381: 33.014.536/7931-48<->90.542.377/2694-71
GLOU8180283: 11.380.508/8685-64<->28.208.872/5446-55
UNUU0359342: 64.611.881/0470-85<->53.229.340/3287-00
UDLJ0281598: 05.029.194/4892-99<->49.715.121/3501-05
JQFZ2568234: 12.692.128/2211-21<->27.646.658/3229-34
OPVJ0248544: 88.325.995/3814-62<->90.206.533/6985-89
KCQU4931066: 55.917.483/7756-75<->47.754.055/0657-56
LKXJ8214456: 91.945.005/6343-97<->94.186.928/8537-53
QNUJ9763095: 27.621.428/6928-72<->71.369.014/6134-82
ODFU9607524: 53.212.308/6113-44<->77.734.963/3063-44
JYGZ6297203: 74.348.392/2834-70<->38.035.924/0243-71
FIBU3751449: 03.359.994/1966-01<->56.904.128/9578-38
BTAU3230898: 57.694.474/8943-06<->31.963.261/5807-64
CQJU9129649: 61.371.099/7147-25<->32.395.294/3657-32
RULJ7892349: 35.856.410/2893-66<->76.962.783/3352-18
BSDZ8531616: 90.261.399/5965-74<->66.419.419/0988-40
YMOJ6180528: 13.445.008/0220-97<->67.318.589/3357-97
EHHU3338165: 34.646.617/8904-31<->21.527.669/4196-49
QTWJ3812853: 36.530.922/4146-86<->97.878.123/7344-67
NJSZ1327306: 01.767.845/4729-96<->44.888.594/4055-83
WPJJ0141445: 28.618.540/5348-21<->12.281.449/9538-01
GAVU6306925: 39.949.638/0650-55<->55.698.841/0251-03
ZBKU8784658: 69.893.843/8267-39<->83.084.860/6236-03
UCKZ3587653: 90.982.631/1994-43<->65.452.023/7207-78
MRTZ5666451: 11.846.323/5952-39<->00.465.667/3810-87
IHAJ9782148: 52.740.583/3431-65<->33.066.943/2136-73
VRNU7658708: 93.304.710/9357-64<->72.535.429/4798-77
YXJZ9275135: 25.356.188/3358-29<->95.158.992/3352-43
FTFJ0945773: 13.116.486/3594-84<->66.339.569/7229-03
FUQU3709406: 54.499.904/3191-72<->20.168.363/1101-23
APRU3904825: 65.031.445/5239-26<->82.520.531/4806-56
QABJ0936424: 63.406.446/4612-77<->27.030.512/3218-67
MSZJ6329940: 35.081.356/2369-64<->98.511.636/7536-64
ZLGZ9815743: 32.461.421/4803-06<->58.584.988/1157-59
AVUU7506596: 77.331.880/7340-44<->95.636.042/3620-87
GLXU2819903: 20.407.889/9993-94<->40.418.598/7671-86
SGZU2663502: 99.716.418/4438-84<->14.046.144/7320-31
ZUIJ7225697: 51.515.192/8302-80<->88.815.397/4963-10
KJXU7168797: 69.989.769/3037-42<->36.747.334/6959-67
NYJZ3478661: 45.382.884/6557-45<->63.826.092/8894-95
SYNJ5988146: 21.182.325/9769-53<->89.473.180/3641-26
MVGU3851241: 08.130.036/0407-97<->24.500.284/0514-76
QVIJ7162511: 37.883.321/9185-42<->37.513.758/4199-65
FGUU6588799: 59.229.117/8604-99<->50.181.315/9233-60
KMWJ8587009: 17.754.980/2180-76<->86.148.829/9623-69
TTYJ2421859: 70.851.271/7050-12<->12.612.473/6689-10
NKCJ3101894: 59.829.243/8433-17<->72.134.740/8772-03
RIQU6046976: 83.302.413/4340-06<->61.510.632/7299-00
ZJDJ4439823: 17.359.480/9737-15<->14.878.642/6110-28
NKPJ2751719: 40.476.434/9001-55<->14.169.819/4318-00
WWDJ9346763: 35.995.902/4073-52<->93.286.495/8205-73
HMIZ5002115: 06.018.332/7819-16<->41.793.412/6961-24
VMQU0113536: 15.684.190/8750-63<->21.366.411/1514-38
WBTU7623706: 32.667.751/0049-65<->95.200.032/3223-38
JVSZ1487287: 97.788.841/3195-41<->18.788.495/9529-30
CFEZ0954519: 17.939.568/5090-88<->52.934.548/4761-63
AWDJ5142713: 92.536.214/0031-39<->43.864.577/9595-66
RKMJ3876288: 97.860.943/5630-38<->34.096.000/9368-05
DKUZ5431268: 03.063.000/5914-84<->57.965.214/3673-37
HJBU2994887: 44.536.795/3926-81<->86.295.712/4577-73
CDOZ5276974: 61.583.403/1783-81<->26.969.457/8588-83
.
.
.
VTNZ6186827: 3589Kg (14%)
TBNJ2055762: 2024Kg (14%)
LDAJ1010025: 3389Kg (14%)
OTJU6590579: 3066Kg (14%)
EGQJ2904496: 1604Kg (14%)
NWVZ4591561: 2415Kg (14%)
VNUU5586023: 2046Kg (14%)
PALJ9696583: 1860Kg (14%)
MMMZ9633655: 2867Kg (14%)
ACGJ4032909: 3197Kg (14%)
UWKZ1054961: 2899Kg (14%)
QMJJ8822229: 2985Kg (14%)
OIAZ5828765: 1970Kg (14%)
NKLJ8169077: 2804Kg (14%)
MYIU6477068: 2864Kg (14%)
JZLJ8715403: 3585Kg (14%)
EKBZ2028669: 2145Kg (14%)
ZKBZ2661108: 3092Kg (14%)
RKYJ2783204: 3357Kg (14%)
NYSJ1651499: 2733Kg (14%)
MIHZ1765260: 3542Kg (14%)
NZYU3998479: 2400Kg (14%)
QKDZ9833847: 1497Kg (14%)
PQUJ6491214: 3282Kg (14%)
KTRJ9078392: 2883Kg (14%)
EPBZ5740335: 2223Kg (14%)
RNTJ2466405: 1508Kg (14%)
VWYU4120167: 3733Kg (14%)
TFUU1791177: 3503Kg (14%)
GHYZ2380485: 3379Kg (14%)
XCJZ0969960: 1843Kg (14%)
HUJJ5062666: 3462Kg (14%)
BOTZ0010491: 3252Kg (14%)
LFZU6209837: 2193Kg (14%)
VRSJ1330785: 3520Kg (14%)
EIZJ2565931: 2907Kg (14%)
KNKU9223269: 2913Kg (14%)
EVHZ3275180: 1915Kg (14%)
LXGJ7730894: 3397Kg (14%)
JMAZ8738137: 3753Kg (14%)
FVBZ8426079: 2769Kg (14%)
ZDMU4506886: 2760Kg (14%)
IKDZ0100020: 3212Kg (14%)
GHZZ9737208: 3455Kg (14%)
HBGJ9892118: 2854Kg (14%)
OGAZ5788665: 2777Kg (14%)
VRXZ1468877: 1960Kg (14%)
DUVJ9960708: 2110Kg (14%)
SQCU9002350: 2904Kg (14%)
YJZZ1762063: 2958Kg (14%)
FTJJ5088614: 3547Kg (14%)
QNWJ1404516: 2271Kg (14%)
MVTU1306096: 2638Kg (14%)
BCEU5205549: 2106Kg (14%)
KAWZ0413902: 2142Kg (14%)
FEJU3751004: 3350Kg (14%)
PROU6353770: 2875Kg (14%)
SWNJ0067580: 1458Kg (14%)
IONJ3593056: 2745Kg (14%)
WPOZ6642138: 2752Kg (14%)
DISZ2800899: 3126Kg (14%)
FLUJ5195053: 3145Kg (14%)
UYGJ5919578: 1778Kg (14%)
SJQJ2098275: 1879Kg (14%)
HQGU0885315: 2911Kg (14%)
DYVZ3724352: 1870Kg (14%)
OSFZ6861835: 2962Kg (14%)
BHRJ6827726: 2153Kg (14%)
JTFZ9928079: 1652Kg (14%)
YMLU7337482: 3603Kg (14%)
FPYJ9020166: 2005Kg (14%)
CDDZ0058360: 2792Kg (13%)
NOPU8858031: 2822Kg (13%)
LNVJ3761337: 1598Kg (13%)
DDMZ0573393: 2194Kg (13%)
PHYZ0458956: 2628Kg (13%)
RODZ8583995: 2699Kg (13%)
QZRU3728225: 3336Kg (13%)
BQGZ5688448: 1375Kg (13%)
WSWU9650297: 3170Kg (13%)
GALZ5883815: 1431Kg (13%)
ENPJ0958053: 1720Kg (13%)
